"subids","age","gender","comments","exp_about","approval_time","exp_time","training_condition","shape_learned","training_time","trial_type","question","response","shape","trial_num_within_block","block","question_old","question_and_shape","correct"
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","parallelogram","no","rhombus",7,"posttest","parallelogram","parallelogram_rhombus",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","square","no","rhombus",8,"posttest","square","square_rhombus",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","parallelogram","no","rectangle",9,"posttest","parallelogram","parallelogram_rectangle",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","rectangle","yes","square",10,"posttest","rectangle","rectangle_square",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","rectangle","yes","parallelogram",11,"posttest","rectangle","rectangle_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"relational","square","yes","parallelogram",12,"posttest","square","square_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","parallelogram","yes","parallelogram",1,"posttest","parallelogram","parallelogram_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rectangle","yes","parallelogram",2,"posttest","parallelogram","rectangle_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","square","yes","parallelogram",3,"posttest","parallelogram","square_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rhombus","yes","parallelogram",4,"posttest","parallelogram","rhombus_parallelogram",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","parallelogram","no","rectangle",5,"posttest","rectangle","parallelogram_rectangle",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rectangle","yes","rectangle",6,"posttest","rectangle","rectangle_rectangle",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","rhombus","no","rectangle",7,"posttest","rectangle","rhombus_rectangle",TRUE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","square","no","rectangle",8,"posttest","rectangle","square_rectangle",FALSE
114,"34","m","no","shapes",2016-01-24 20:50:23,185967,"passive_active","rhombus",31372,"entity","square","yes","rhombus",9,"posttest","rhombus","square_rhombus",TRUE
